,dtype,missing_rate,n_unique
bb200_upper_ov_velocity3,float32,0.0,1004926
bb200_upper_ov_velocity3_lag1,float32,0.0,1004926
bb200_upper_ov_velocity3_lag3,float32,0.0,1004926
bb200_lower_ov_velocity8,float32,0.0,1004928
bb200_lower_ov_velocity8_lag1,float32,0.0,1004928
bb200_lower_ov_velocity8_lag3,float32,0.0,1004928
bb200_upper_ov_velocity1,float32,0.0,1004979
bb200_upper_ov_velocity1_lag1,float32,0.0,1004979
bb200_upper_ov_velocity1_lag3,float32,0.0,1004979
atr14,float64,0.0,1009708
